Sumpfschnepfe	Bekassine
Ammenzeugung	Generationswechsel
Fördermaschine	Förderung
Freifräulein	Freiin
Freiheitsmütze	Jakobinermütze
Abortus	Fehlgeburt
Frett	Frettchen
Fröschleingeschwulst	Frosch
Fruchtfolge	Rotation
Fruchtvögel	Schwätzer
Fruchtzucker	Fruktose
Fuchsia	Fuchsie
Fuchsin	Rubin
Fuchsin	Magenta
Fucus	Blasentang
Fucus	Seetang
Fühlhörner	Fühler
Fumaria	Erdrauch
Fundschein	Obduktionsbericht
Furchung	Klüftung
Fuß	Schuh
Fußmörser	Böller
Gabelung	Dichotomie
Gagel	Gagelstrauch
Galánthus	Schneeglöckchen
Galeobdolon	Goldnessel
Galeópsis	Hohlzahn
Aalraupe	Quappe
Aalraupe	Aalquappe
Aalraupe	Rutte
Galium	Labkraut
Galvanische Batterie	Säule
Gänsekraut	Gänsekresse
Garbe	Schafgarbe
Gärung	Fermentation
Gasäther	Gasolin
Gaskraftmaschine	Gasmotor
Gassenlaufen	Spießrutenlaufen
Gastwirt	Restaurateur
Gebärmutter	Mutter
Geckonen	Haftzeher
Anagállis	Gauchheil
Gefolgschaft	Gefolge
Gelbbleierz	Wulfenit
Gemse	Gams
Generalinquisitor	Großinquisitor
Genista	Ginster
Gentiana	Enzian
Gerade Aufsteigung	Rektaszension
Geradflügler	Schrecken
Gerichtsbarkeit	Jurisdiktion
Gerichtskosten	Gerichtsgebühren
Geschäftsgeheimnis	Betriebsgeheimnis
Geschichte	Historie
Geschoß	Projektil
Geschützbronze	Stückgut
Gesellschaftswissenschaft	Soziologie
Gesetzsammlung	Gesetzblatt
Gesicht	Angesicht
Gesicht	Antlitz
Anchusa	Ochsenzunge
Geweih	Gehörn
Abrudbánya	Altenburg
Gìbbon	Langarmaffe
Andes	Los
Gleichflügler	Zirpen
Andromeda	Rosmarinheide
Glockenvogel	Glöckner
Glockner	Großglockner
Andropogon	Bartgras
Glyceria	Süßgras
Glyoyrrhiza	Süßholz
Gnaphalium	Ruhrkraut
Anemone	Windröschen
Goldsolidus	Solidus
Anethum	Dill
Anethum	Gurkenkraut
Angelica	Engelwurz
Goethe-Nationalmuseum	Goethehaus
Göttergeschick	Ragnarök
Angiopteris	Palmfarn
Abschlagszahlung	Anzahlung
Abschlagszahlung	Teilzahlung
Greifzirkel	Taster
Großjährigkeit	Volljährigkeit
Grundbau	Gründung
Grundbau	Fundamentierung
Grundbau	Fundierung
Gründüngung	Gründung
G-Schlüssel	Violinschlüssel
Gummipflaster	Zugpflaster
Gurjunbalsam	Holzöl
Gürtelflechte	Gürtelrose
Gymnogramme	Nacktfarn
Gypsophila	Gipskraut
Haar	Haarstrang
Hackebrett	Zymbal
Haferwurzel	Haferwurz
Hagedorn	Weißdorn
Hakenfink	Hakengimpel
Halbgeschoß	Zwischengeschoß
Hammerfisch	Hammerhai
Handelsfrau	Kauffrau
Handlungsreisender	Geschäftsreisender
Hanswurst	Harlekin
Harnisch	Küraß
Haselnußstrauch	Hasel
Haubentaucher	Steißfuß
Hauskommunion	Hausgemeinschaft
Hechtdorsch	Seehecht
Hedonik	Hedonismus
Antennaria	Katzenpfötchen
Anthemis	Hundskamille
Anthoxanthum	Ruchgras
Anthrazit	Glanzkohle
Anthriscus	Kerbel
Hessus	Koch
Heulwolf	Steppenwolf
Heulwolf	Präriewolf
Heulwolf	Coyote
Himbeere	Himbeerstrauch
Hirschkäfer	Baumschröter
Hof	Halo
Hornbaum	Weißbuche
Hornbaum	Hainbuche
Hottonia	Wasserfeder
Anziehung	Attraktion
Apfel	Apfelbaum
Apium	Sellerie
Intramerkuriéller Planet	Vulkan
J	Jot
Appretur	Zurichtung
Pfalzgraf bei Rhein Johann Kasimir	Pfalzgraf
Johannes der Presbyter	Erzbischof
Johanniswürmchen	Leuchtkäfer
Junikäfer	Gartenlaubkäfer
Aquilegia	Akelei
Kaiserling	Eierschwamm
Arabis	Gänsekresse
Kampfläufer	Kampfhahn
Arapiles	Los
Kapuzinerpilz	Birkenpilz
Kapybara	Wasserschwein
Acacia	Akazie
Kassaï	Kwa
Katzenbär	Panda
Kauf	Kaufvertrag
Arbutus	Erdbeerbaum
Archangelica	Engelwurz
Acanthus	Bärenklau
Archimedische Schraube	Wasserschnecke
Arctostaphylos	Bärentraube
Kirchenbann	Exkommunikation
Kirchendiebstahl	Kirchenraub
Klammeraffe	Stummelaffe
Klettermeisen	Baumläufer
Klettermeisen	Baumrutscher
Aare	Aar
Kohlrübe	Steckrübe
Kohlrübe	Dorsch
Koloradokäfer	Kartoffelkäfer
Kolumbien	Columbia
Aristolochia	Osterluzei
Konsolidation	Konsolidierung
Kormoran	Scharbe
Kote	Kate
Kreuzotter	Otter
Kuguar	Puma
Kukurbeta	Großer
Küstenschiffahrt	Küstenfahrt
Lactarius	Milchling
Laminaria	Riementang
Lamium	Taubnessel
Landesdirektor	Landeshauptmann
Landesherrlichkeit	Landeshoheit
Ländler	Dreher
Landrichter	Landgerichtsrat
Landstreicher	Vagabund
Lappa	Klette
Lärmstange	Fanal
Lathyrus	Platterbse
Artocarpus	Brotfruchtbaum
Achene	Achäne
Achene	Schließfrucht
Arum	Aronstab
Lavandula	Lavendel
Lederfabrikation	Gerberei
Ledum	Porst
Legat	Vermächtnis
Asarum	Haselwurz
Leichenverbrennung	Feuerbestattung
Leichenverbrennung	Kremation
Leihhaus	Pfandhaus
Leihhaus	Lombard
Leinölsäure	Linolsäure
Leinpfad	Treidelweg
Leinwand	Leinen
Äsche	Mailing
Aschenbrödel	Aschenputtel
Achillea	Schafgarbe
Lepidium	Kresse
Ligustrum	Liguster
Asklepios	Äskulap
Lilium	Lilie
Liquidambar	Amberbaum
Listenskrutinium	Listenwahl
Llanos	Los
Löffelhund	Kaffer
Asplenium	Streifenfarn
Lolium	Lolch
Lorette	Kokotte
Lösung	Auflösung
Lotsenfisch	Pilot
Lotus	Hornklee
Luftschiffahrt	Aeronautik
Lunaria	Silberblatt
Ast	Schlag
Luzon	Manila
Luzula	Hainsimse
Lychnis	Lichtnelke
Lycopodium	Bärlapp
Lythrum	Weiderich
Madenwurm	Springschwanz
Magnesit	Bitterspat
Astrantia	Sterndolde
Astrantia	Meisterwurz
Mairübe	Speiserübe
Majanthemum	Schattenblume
Major Domus	Hausmeier
Makari	Kotoko
Therese Malten	Müller
Malva	Malve
Atavismus	Rückschlag
Mandelkrähe	Blauracke
Mandingo	Malinke
Mandingo	Bambara
Mandingo	Susu
Manga	Mangopflaume
Manganspat	Himbeerspat
Manganspat	Rhodochrosit
Mara	Pampashase
Marabu	Adjutant
Maranta	Pfeilwurz
Margarit	Perlglimmer
Margarit	Kalkglimmer
Marishal	Lord
Aethiops	Mohr
Mars	Marmor
Martini	Martinsfest
Märzbewegung	Märzrevolution
Maschinengeschütz	Maschinenkanone
Atolle	Laguneninseln
Mauerbohrer	Tarant
Mauerschwalben	Segler
Maurizio	Porto
Atriplex	Melde
Mechanische Wärmetheorie	Thermodynamik
Medicago	Schneckenklee
Medizinalwesen	Sanitätswesen
Mehlfabrikation	Müllerei
Melaphyr	Trapp
Melica	Perlgras
Melilotus	Steinklee
Melissa	Melisse
Mentha	Minze
Mercurialis	Bingelkraut
Merkantilsystem	Merkantilismus
Meßrute	Meßstab
Met	Honigwein
Ackerbau	Agrikultur
Meum	Bärwurz
Milchwirtschaft	Meierei
Milium	Flattergras
Mimose	Sinnpflanze
Mirabilis	Wunderblume
Aufsichtsrat	Verwaltungsrat
Mißbildung	Mißgeburt
Mitreederei	Reederei
Mnemonik	Mnemotechnik
Mnium	Sternmoos
Augenheilkunde	Ophthalmologie
Mohrrübe	Karotte
Augenspiegel	Ophthalmoskop
Mondzirkel	Mondzyklus
Monotropa	Fichtenspargel
Moor	Moos
Moor	Filz
Morchélla	Morchel
Aurifaber	Goldschmied
Acorus	Kalmus
Münzfälschung	Falschmünzerei
Muscari	Traubenhyazinthe
Muscogee	Muskogee
Mutter	Schraubenmutter
Nachtwandeln	Somnambulismus
Nachtwandeln	Schlafwandeln
Nagetiere	Nager
Name	Personenname
Narcissus	Narzisse
Nargileh	Wasserpfeife
Narthecium	Ährenlilie
Narthecium	Beinbrech
Nationalflagge	Handelsflagge
Nebelkappe	Tarnkappe
Nepeta	Katzenminze
Nephrit	Beilstein
Nesselausschlag	Nesselsucht
Nickfänger	Nicker
Niederdeutsch	Plattdeutsch
Aventurin	Avanturin
Aventurin	Aventurinquarz
Nilpferd	Flußpferd
Aventurinfeldspat	Sonnenstein
Nix	Neck
Nix	Nöck
Normalschule	Musterschule
Normannische Inseln	Kanalinseln
Axis	Axishirsch
Ohrensteißfuß	Ohrentaucher
Ol	Wall
Oleinsäure	Ölsäure
Olivin	Peridot
Olm	Grottenolm
Ölung	Letzte
Omissivdelikt	Unterlassungsdelikt
Oenánthe	Rebendolde
Ononis	Hauhechel
Opium	Mohnsaft
Opuntia	Feigenkaktus
Orchis	Knabenkraut
Origanum	Dost
Orobanche	Sommerwurz
Orobanche	Würger
Ozeanien	Polynesien
Ozeanisches Klima	Seeklima
Baden	Baden-Baden
Pancratium	Trichterlilie
Pastinake	Pastinak
Pauke	Kesselpauke
Pedicularis	Läusekraut
Peilen	Peilung
Pelikan	Kropfgans
Bakau	Baku
Perlit	Perlstein
Peucedanum	Haarstrang
Pfahlgraben	Limes
Pferderechen	Heurechen
Pfirsich	Pfirsichbaum
Pflaume	Pflaumenbaum
Balggeschwulst	Zyste
Phyteuma	Rapunzel
Picker	Webervogel
Pilger	Pilgrim
Pinguicula	Fettkraut
Plattieren	dublieren
Platzangst	Agoraphobie
Plenarsitzung	Plenum
Plötze	Rotauge
Poa	Rispengras
Polierschiefer	Klebschiefer
Polk	Pulk
Bambusa	Bambus
Polygonum	Knöterich
Polyporus	Löcherpilz
Pontifikalmesse	Pontifikalamt
Posilipotuff	Puzzolan
Posten	Roller
Postporto	Porto
Potentilla	Fingerkraut
Praia	Porto
Pranger	Schandpfahl
Pressionsführung	Forcierung
Pulicaria	Flohkraut
Pulmonaria	Lungenkraut
Pulsatilla	Küchenschelle
Puppe	Chrysalis
Bär	Bärenspinner
Pustel	Blatter
Quartermeister	Quartiermeister
Quittenbaum	Quitte
Ranunculus	Hahnenfuß
Rapsfloh	Rapserdfloh
Raseneisenstein	Raseneisenerz
Raseneisenstein	Limonit
Raserei	Tobsucht
Rattenfänger	Rattler
Rauschbrand	Geräusch
Rechtsanwalt	Sachwalter
Rechtsanwalt	Advokat
Rechtschreibung	Orthographie
Rechtsgelehrsamkeit	Jurisprudenz
Rechtswissenschaft	Jurisprudenz
Reïteration	Iteration
Reïteration	Repetition
Reliefdruck	Prägedruck
Renke	Felchen
Rennarbeit	Rennen
Rennstieg	Rennsteig
Repetént	Repetitor
Reseda	Resede
Rhätoromanisch	Romanisch
Rhätoromanisch	Ladinisch
Rhyolith	Liparit
Riechbein	Siebbein
Bartsinne	Bartflechte
Adiántum	Frauenhaar
Robinia	Akazie
Rock	Heiliger
Roßhaar	Pferdehaar
Rotbleierz	Krokoit
Roteisenerz	Roteisenstein
Rotkohl	Rotkraut
Rotzkrankheit	Wurm
Basilienkraut	Basilikum
Rundiste	Einfassung
Ruta	Raute
Bassétthorn	Krummhorn
Saalach	Saal
Saccharum	Zuckerrohr
Adjektiv	Eigenschaftswort
Sagittaria	Pfeilkraut
Saibling	Ritter
Salpeter	Kalisalpeter
Salzkote	Halle
Sambucus	Holunder
Sambucus	Holder
Sammelglas	Sammellinse
Sanitätskorps	Sanitätspersonal
Santorin	Thira
Saponaria	Seifenkraut
Saria	Soso
Saxifraga	Steinbrech
Schächerkreuz	Gabelkreuz
Bauführer	Bauleiter
Schaumzirpe	Schaumzikade
Scheelbleierz	Stolzit
Scheelit	Tungstein
Schiffer	Schiffsführer
Schiffer	Kapitän
Schiffsdirektor	Schiffseigner
Schiffsjournal	Logbuch
Schlachthaus	Schlachthof
Schlagfluß	Schlag
Schleppnetz	Zugnetz
Schlieg	Schlich
Schlüpfer	Zaunschlüpfer
Schmälen	Schrecken
Schmaljungfer	Schneider
Schmarotzertum	Parasitismus
Schmelzbutter	Butterschmalz
Schmetterlinge	Falter
Schnellkraft	Federkraft
Schornstein	Esse
Schoßbein	Schambein
Schotter	Steinschlag
Schraubenbohrer	Gewindebohrer
Schraubenpropeller	Schiffsschraube
Schreckhorn	Kleines
Schuldschein	Schuldverschreibung
Schwammspinner	Großkopf
Schweißhund	Bluthund
Schwere	Schwerkraft
Schwerspat	Baryt
Schwingung	Vibration
Schwingung	Oszillation
Schwungrad	Schwungscheibe
Schwurgericht	Geschworenengericht
Schwurgericht	Jury
Scilla	Blaustern
Scrophularia	Braunwurz
Sedum	Fetthenne
Sedum	Mauerpfeffer
Seebarbe	Meerbarbe
Seeföhre	Seeforelle
Seehase	Lump
Seeotter	Meerotter
Seepolyp	Krake
Seeraub	Piraterie
Seezeichen	Schiffahrtszeichen
Seguro	Porto
Seidenhase	Angorakaninchen
Selbstherrscher	Autokrat
Selbstschuldner	Selbstzahler
Adlervitriol	Bayreuther
Adlervitriol	Salzburger
Senecio	Kreuzkraut
Sequestration	Zwangsverwaltung
Sextus	Liber
Beerberg	Großer
Sgraffito	Graffito
Sheddach	Sägedach
Sichelreiher	Sichler
Befestigungskunst	Fortifikation
Siebengestirn	Plejaden
Befreiungskrieg	Deutscher
Silene	Leimkraut
Siphonia	Gummibaum
Siphonia	Kautschukbaum
Sirach	Jesus
Sium	Merk
Sklavenfluß	Großer
Sklavensee	Großer
Solanum	Nachtschatten
Soldanella	Alpenglöckchen
Solidago	Goldrute
Sonchus	Gänsedistel
Sonnabend	Samstag
Sonnenzirkel	Sonnenzyklus
Sorbus	Eberesche
Spadizifloren	Kolbenblütler
Spannungsmesser	Voltmeter
Belehnung	Investitur
Speckstein	Steatit
Spergula	Spergel
Sperling	Spatz
Spiritusfabrikation	Brennerei
Spreu	Kaff
Springbrunnen	Fontäne
Sprotte	Breitling
Stachelbeere	Stachelbeerstrauch
Stachelpilz	Stoppelpilz
Stachys	Ziest
Statue	Standbild
Statue	Bildsäule
Stechrochen	Stachelrochen
Steinfrucht	Steinbeere
Moritz Steinla	Müller
Steinmasse	Kunststein
Stellaria	Sternmiere
Steuermannskunst	Navigation
Steuermannskunst	Nautik
Adonis	Adonisröschen
Stiller Ozean	Südsee
Strafbefehl	Strafmandat
Strafvollzug	Strafvollstreckung
Strahlstein	Aktinolith
Bengel	Flegel
Strohfiedel	Xylophon
Stromwender	Umschalter
Abladen	befrachten
Ablauf	Böschung
Abschied	Dienstentlassung
Absis	Apsis
Abt	Abbé
Abzehrung	Auszehrung
Accrescendo	Crescendo
Achiver	Achäer
Advis	Avis
Afterdolde	Trugdolde
Agtstein	Bernstein
Air	Arie
Akkordion	Ziehharmonika
Akkumulatoren	Sammler
Akzidentalen	Versetzungszeichen
Alexandreia	Alexandria
Altviole	Bratsche
Amaltheia	Füllhorn
Amelkorn	Emmer
Amerika-Inseln	Fanninginseln
Ammer	Emmer
Amoriter	Kanaaniter
Ampferklee	Sauerklee
Amrom	Amrum
Analemma	Astrolabium
Anglisieren	englisieren
Annéx	Annexion
Anonym	Aktiengesellschaft
Anteilschein	Aktie
Antiklinale	Sattel
Apfelwein	Zider
Appartement	Abort
Äquivok	Urzeugung
Ärarium	Fiskus
Arbeitsübertragung	Kraftübertragung
Armatur	Anker
Arsacideninseln	Salomoninseln
Assortiment	Sortiment
Astronomischer Ring	Astrolabium
Aszendénten	Rektaszension
Aul	Dorf
Auslobung	Abfindung
Auspex	Augur
Australozean	Südsee
Autocab	Automobil
Autoskopie	Autopsie
Avanzo	Avance
Aviation	Flugtechnik
Babel	Babylon
Bader	Barbier
Bahamaholz	Rotholz
Baladea	Neukaledonien
Balance	Unruhe
Balgkapsel	Balgfrucht
Ballier	Polier
Baltisches Meer	Ostsee
Bangla	Bungalow
Bankert	Bastard
Bärenwurzel	Bärwurz
Bärme	Hefe
Baron	Freiherr
Bartholomäussee	Königssee
Baryt	Schwerspat
Basaltit	Melaphyr
Basaltit	Basalt
Baß	Kontrabaß
Basse-taille	Bariton
Bastardeisen	Nickel
Baster	Bastard
Bauernleier	Drehleier
Béfort	Belfort
Beinhaut	Knochenhaut
Belo...	Weiß
Benefiziánt	Pfründe
Bernstein	Gagat
Besing	Heidelbeere
Bettlerleier	Drehleier
Bevollmächtigter Minister	Gesandter
Bewetterung	Wetterführung
Bey	Beg
Bibliothekzeichen	Exlibris
Bickbeere	Heidelbeere
Billett	Banknote
Bin	Major
Binär	Dyadik
Biographie	Kinematograph
Biologie	Physiologie
Biosophie	Physiologie
Bjel...	Weiß
Bjelo...	Weiß
Blafard	Albino
Blässe	Bläßhuhn
Blaues Meer	Aralsee
Blendling	Bastard
Blicken	Einkorn
Blockschiff	Hulk
Blumensonntag	Palmsonntag
Blutpilz	Satanspilz
Blutzeugen	Märtyrer
Boabab	Baobab
Bogner	Bogenschütze
Böhmisch-Sächsisches Sandsteingebirge	Elbsandsteingebirge
Boxer	Bulldogge
Br.	Brief
Brahme	Senkblei
Brandassekuranz	Feuerversicherung
Bredouille	Verlegenheit
Brigadier	Brigadegeneral
Bronzealter	Bronzezeit
Bruchbeere	Heidelbeere
Bubonenpest	Beulenpest
Bums	Bimsstein
Bundesversammlung	Bundestag
Bussole	Kompaß
Büttner	Böttcher
Caerdiff	Cardiff
Candia	Kreta
Canot	Kanu
Cape Town	Kapstadt
Capite censi	Proletarier
Cebú	Zebu
Certosa	Kartause
Chacham	Rabbiner
Charge	Dienstgrad
Chef	Inhaber
Chilisalpeter	Chilesalpeter
Chinabaum	Chinarindenbaum
Choreus	Trochäus
Christdorn	Stechpalme
Christianit	Anorthit
Christrose	Nieswurz
Ciaccona	Chaconne
Circulaire	Zirkular
Clavecin	Cembalo
Clerc	Geistlicher
Cod-liver oil	Lebertran
Cod-oil	Lebertran
Coloninseln	Galapagosinseln
Comménda	Kommende
Constitutio	Verordnung
Contre	Kontertanz
Coquille	Hartguß
Cosa	Algebra
Counsel	Barrister
Currachee	Karatschi
Dacca	Dhaka
Dachhaube	Zwiebelhaube
Dachlauch	Hauswurz
Dächsel	Dachshund
Dachwurzel	Hauswurz
Dakka	Dhaka
Dakoromanisch	Rumänisch
Damara	Herero
Damoiseau	Fräulein
Dampfboot	Dampfschiff
Däumling	Daumen
Deduktion	Abzug
Defäkation	Scheidung
Defekation	Defäkation
Dekreditieren	diskreditieren
Denka	Dinka
Deposition	Depotgeschäft
Dettenried	Delle
Deul	Luppe
Deutsches Meer	Nordsee
Deviation	Derivation
Dextrose	Traubenzucker
Dialyse	Diäresis
Diaphragma	Blendung
Differentiieren	Differenzieren
Diffraktion	Beugung
Digestion	Verdauung
Digéstor	Dampfkochtopf
Digression	Elongation
Diplom	Urkunde
Dirigént	Direktor
Diskánt	Sopran
Dîwân	Staatsrat
Donnerbesen	Hexenbesen
Doornik	Tournai
Doppelwappen	Allianzwappen
Dor	Bongo
Dorsch	Kohlrübe
Dossierung	Böschung
Doublestoff	Eskimo
Doyen	Dechant
Drachenpalme	Drachenbaum
Drachenwurz	Schlangenwurz
Dragant	Tragant
Drechselbank	Drehbank
Dreifaltigkeitsblume	Stiefmütterchen
Dulzinea	Geliebte
Dünenhafer	Strandhafer
Durák	Narr
Dynamo-elektrische Maschine	Dynamomaschine
Ebenstrauß	Doldentraube
Edelwild	Rotwild
Ehekontrakt	Ehevertrag
Eichhorn	Eichhörnchen
Eingelegte Arbeit	Intarsia
Eisenperiode	Eisenzeit
Eisspat	Adular
Elefantenfluß	Olifant
Elektrische Kur	Elektrotherapie
Elektrischer Generator	Dynamomaschine
Elektrischer Motor	Elektromotor
Elektromagnetische Maschine	Dynamomaschine
Elektroplástik	Galvanoplastik
Eller	Erle
Elsbeere	Eberesche
Elzebeere	Eberesche
Empirestil	Klassizismus
Endechrist	Antichrist
Entbindungskunst	Geburtshilfe
Entrata	Introduktion
Epistyl	Architrav
Epópten	Schwärmer
Eppich	Sellerie
Eppich	Efeu
Erbbestand	Erbpacht
Erchtag	Dienstag
Erdbebenmesser	Seismometer
Erderschütterung	Erdbeben
Erdpistazie	Erdmandel
Erdwolf	Maulwurfsgrille
Erlitz	Adler
Erlöser	Heiland
Ermitage	Eremitage
Ertag	Dienstag
Erwerbssteuer	Gewerbesteuer
Esdragon	Estragon
Eskompte	Diskonto
Eteográmm	Chronogramm
Eubiotik	Diätetik
Eulogie	Eucharistie
Eunuch	Kastrat
Exedra	Apsis
Exekution	Hinrichtung
Exstirpation	Grubber
Faktor	Kommissionär
Fallbeil	Guillotine
Fallbrücke	Zugbrücke
Fallende Sucht	Epilepsie
Fallzünder	Aufschlagzünder
Falscheid	Meineid
Falu	Dorf
Fanfare	Tusch
Farbenzerstreuung	Dispersion
Farce	Burleske
Farren	Farn
Fâs	Fes
Fasel	Nachwuchs
Fassonieren	Kopiermaschine
Fechten	eichen
Feigbohne	Lupine
Feldmesser	Geometer
Feldregulierung	Feldbereinigung
Felgen	Grubber
Ferîk	Division
Ferîk	Divisionsgeneral
Fermentation	Gärung
Fernambukholz	Rotholz
Feudum	reaktionär
Feuerkasten	Feuerbüchse
Fiji-Inseln	Fidschi-Inseln
Firka	Division
Firmenregister	Handelsregister
Firnistuch	Wachstuch
Firth	Fjord
Fjärd	Fjord
Flämische Inseln	Azoren
