Aalmutter	Seefisch
Brangäne	Begleiterin
Braun & Schneider	Verlagsbuchhandlung
Bravissimo	Superlativ
Brechmaschine	Maschine
Brennglas	Pseudonym
Brennus	Führer
Breviarium	Wirtschaftsbuch
Brin	Schöpfer
Brisling	Sprotte
Broadstairs	Seebad
Bromios	Beiname
Brosamer	Holzschneider
Brown	Stifter
Browne	Reichsgraf
Broye	Zufluß
Broyon	Läufer
Brückenkopf	Befestigungswerk
Bruieren	Zeuge
Bruyèreholz	Wurzelholz
Buch	Blättermagen
Buch der Bücher	Bibel
Buchmagen	Blättermagen
Büchsflinte	Gewehr
Bucken	Springen
Buddha	Stifter
Buffo	Sänger
Bumerang	Wurfwaffe
Bundestag	Versammlung
Bunkershill	Hügel
Bun-raj	Bastfaser
Burda	Mantel
Burdschiten	Dynastie
Buren	Bevölkerung
Büren	Ahnherr
Bürgenstock	Kurhaus
Bürgermeister	Vorsitzender
Burnham	Seebad
Bürstenabzug	Korrekturabzug
Büßling	Hanfpflanze
Butler	Oberst
Buto	Pflegemutter
Butt	Flunder
Buzephalus	Lieblingspferd
Byr	Pseudonym
C	Buchstabe
Caballero	Schriftstellername
Cabalministerium	Spottname
Cachenez	Schal
Caffarelli	Palast
Cafuso	Mischling
Caisson	Kammer
Calasanza	Stifter
Calceus	Fußbekleidung
Calcio	Ballspiel
Caldarium	Badezimmer
Caliche	Chilesalpeter
Caelius mons	Hügel
Calumet	Friedenspfeife
Camaldoli	Mutterkloster
Camáuro	Mütze
Camerarius	Aufseher
Campbelliten	Sekte
Canadian River	Nebenfluß
Canaletto	Beiname
Candiot	Einwohner
Canino	Fürst
Capite censi	Bürger
Capot	Regenmantel
Capra	Ziege
Caput Medusae	Erweiterung
Caquetá	Quellfluß
Cardona	Festung
Carey	Komponist
Carpaccio	Maler
Carpentariagolf	Meerbusen
Cärularius	Patriarch
Cassis	Likör
Casti	Hofpoet
Casula	Meßgewand
Catulus	Beiname
Cauca	Nebenfluß
Cavourkanal	Bewässerungskanal
Cayuga	Indianerstamm
Cedar Creek	Nebenfluß
Cédille	Häkchen
Cembalíst	Spieler
Cenere	Bergrücken
Cepheus	Sternbild
Cerna	Nebenfluß
Cerographie	Gravierung
Cervin	Matterhorn
Cervus	Hirsch
Champlain	Binnensee
Charazeen	Abteilung
Charon	Fährmann
Chasan	Vorbeter
Châteaubriand	Vicomte
Chatsworth House	Schloß
Chesapeakebai	Busen
Chichimeca	Urbewohner
Chickahominy	Nebenfluß
Chickamauga	Nebenfluß
Chiers	Nebenfluß
Chiese	Nebenfluß
Chillon	Schloß
Chippewa	Nebenfluß
Chiquito	Indianerstamm
Chiton	Unterkleid
Chiwa	Chanat
Chlamys	Mantel
Chloë	Beiname
Choden	Bewohner
Chokieren	Anstoß
Choreographie	Aufzeichnung
Choriambus	Versfuß
Choripetalen	Abteilung
Chorrillos	Seebad
Christliche Kunst	Epoche
Christmonat	Dezember
Christwurz	Nieswurz
Chromoxylographie	Herstellung
Chroníst	Verfasser
Chronograph	Verfasser
Chronoskop	Apparat
Chútor	Landhaus
Cirrokumulus	Schäfchen
Cirrus	Locke
City	Bischof
Civitavecchia	Festung
Claremont	Lustschloß
Clarendon Press	Buchdruckerei
Clarke's River	Quellfluß
Coccinella	Marienkäfer
Coccyx	Steißbein
Comanches	Indianerstamm
Communeros	Partei
Conchos	Nebenfluß
Condominium	Miteigentum
Conjunctiva	Bindehaut
Consanguinei	Halbgeschwister
Coquelicot	Klatschmohn
Corcovado	Vulkan
Coriolanus	Beiname
Corrèze	Nebenfluß
Corubin	Handelsname
Corylus	Haselnußstrauch
Coseguina	Vulkan
Coucy	Kastellan
Coupure	Durchstich
Cowper	Anatom
Crampas	Ostseebad
Crassula	Pflanzen
Crassus	Zuname
Crofters	Kleinpächter
Crookes	Physiker
Croton River	Nebenfluß
Croupier	Gehilfe
Crow	Indianerstamm
Crozat	Marquis
Crucis	Mittwoch
Cucúllus	Kutte
Cumbal	Vulkan
Cupressus	Zypresse
Cutis	Lederhaut
Cuza	Fürst
Cyane	Kornblume
Cydonia	Quittenbaum
Cyma	Trugdolde
Cyprische Erde	Handelsname
Czerny	Beiname
D	Buchstabe
Dachs	Raubtier
Dachshund	Hunderasse
Dakhani	Dialekt
Daktyliomantie	Wahrsagung
Daktylus	Versfuß
Dalekarlien	Gebirgslandschaft
Dalmatinische Literatur	Literatur
Dammersfeld	Bergkuppe
Damokles	Höfling
Dampfakkumulator	Apparat
Dampfbad	Einwirkung
Dampfkessel	Apparat
Dandin	Titelrolle
Dannemora	Kirchspiel
Danziger Bucht	Einbuchtung
Darling	Nebenfluß
Dataria	Abteilung
Daucus	Mohrrübe
Daulatabad	Felsenfestung
Daumont	Viergespann
D'Azeglio	Staatsmann
D. C. L.	Doktor
D. D.	Doktor
Deblockieren	Blockade
Decandria	Pflanzen
Decharge	Freisprechung
Décime	Zehnte
Deckoffizier	Dienstgrad
Décomte	Abzug
Defraudation	Veruntreuung
Degen	Seitengewehr
Dekabristen	Teilnehmer
Dekachórd	Musikinstrument
Dekastichon	Strophe
Dekatieren	Behandlung
Dekórt	Abzug
Dekumatische Äcker	Dreieck
Delilâ	Geliebte
Delphin	Sternbild
Demaskieren	Maske
Demeter	Gottheit
Demographie	Beschreibung
Demokritus	Pseudonym
Dender	Nebenfluß
Dendrologie	Naturgeschichte
Denk	Führer
Deotyma	Pseudonym
Depolarisation	Aufhebung
Deportation	Verbannung
Deputation	Abordnung
Derg	Erweiterung
Derogation	Aufhebung
De Spuches	Fürst
Destinatär	Empfänger
Deszendénten	Verwandte
Detektiv	Polizeibeamter
Détente	Nachlaß
Deterrition	Abschreckung
Deûle	Nebenfluß
Deutsch	Pseudonym
Deutsche Bank	Bankinstitut
Deutsche Ritter	Deutscher
Diabas	Eruptivgestein
Diabetometer	Apparat
Diagometer	Apparat
Diamagnetismus	Einwirkung
Diaphanometer	Apparat
Diaphanoskop	Apparat
Diaphyse	Mittelstück
Diaplasma	Salbung
Diaskeuást	Ordner
Dickfuß	Vogel
Diebstahl	Wegnahme
Dienstag	Wochentag
Dienstmiete	Vertrag
Dienstprämie	Prämie
Dietsch	Nürnberger
Diffalco	Abzug
Digamma	Buchstabe
Dikephalus	Mißgeburt
Dimbovita	Nebenfluß
Dinder	Nebenfluß
Dinglinger	Goldschmied
Diniz	Pseudonym
Diodorus	Presbyter
Dionysien	Feste
Dionysius	Schüler
Diorit	Eruptivgestein
Diptychon	Schreibtafel
Dira necessitas	Zitat
Diskónt	Abzug
Diskontogesellschaft	Kommanditgesellschaft
Diskos	Wurfscheibe
Dislokation	Verteilung
Dispensation	Entbindung
Dispersion	Zerlegung
Dithyrámbus	Beiname
Dito und Idem	Pseudonym
Diurnale	Gebetbuch
Dizeratenkalk	Kalkstein
Dodekarchie	Regierung
Dolerit	Eruptivgestein
Domestikation	Umwandlung
Dominica	Sonntag
Domkapitel	Kapitel
Dompropst	Propst
Donajec	Nebenfluß
Doppelbesteuerung	Besteuerung
Doppelbrechung	Zerlegung
Doyen	Älteste
Dózsa	Anführer
Drahtwurm	Larve
Drall	Windung
Dranmor	Pseudonym
Drau	Nebenfluß
Drehen	Zerspanung
Dreiherrenspitz	Alpengipfel
Dreizack	Speer
Dresdner Bank	Bankinstitut
Drilling	Jagdgewehr
Drogistenschule	Fachschule
Dromos	Wettlauf
Drossel	Luftröhre
Drücken	Arbeitsverfahren
Druiden	Priester
Druidenorden	Geheimbund
Druse	Hohlraum
Drusen	Völkerschaft
Drusus	Beiname
Dschenne	Handelsplatz
Dsjeja	Nebenfluß
Dulce et decorum est, pro patria mori	Zitat
Dulzinea	Geliebte
Dünamünde,	Festung
Dunoon	Seebad
Dunsinane	Hügel
Dunstdruck	Spannung
Duranametall	Aluminium
Dux	Befehlshaber
Dyveke	Geliebte
Ebel	Führer
Ebenzweier	Schloß
Echter	Fürstbischof
Ecrins	Barre
Ecuador	Republik
Eddystone	Felsengruppe
Eféndi	Ehrentitel
Egeria	Gemahlin
Ehrenlegion	Orden
Ehrlicher Makler	Zitat
Eibsee	Alpensee
Eichenkrone	Orden
Eider	Grenzfluß
Eidsvold	Kirchspiel
Eigentum ist Diebstahl	Zitat
Einbruchsdiebstahlsversicherung	Versicherung
Eindeckungen	Balken
Ejâlet	Statthalterschaft
Ekchymose	Austritt
Ekklesia	Volksversammlung
Eklipse	Verschwinden
Ektasie	Erweiterung
Eläometer	Aräometer
Elbe	Pseudonym
Elektrische Kapazität	Fassungsvermögen
Elektrisieren	Elektrizität
Elektrogravüre	Herstellung
Elektrolyse	Zerlegung
Elektrometallurgie	Gewinnung
Elephantine	Assuan
Elfkarleby	Kirchspiel
Eli	Priester
Eliot	Schriftstellername
Elite	Beste
El.... y	Pseudonym
Elysée	Palast
Elz	Nebenfluß
Emersion	Auftauchen
Empsychose	Eintreten
Empyromantie	Weissagung
Emser Depesche	Depesche
Endossiermaschine	Maschine
Engerling	Larve
Englischer Lobgesang	Lobgesang
Englisieren	Durchschneiden
Enosíchthon	Beiname
Entdeckung	Auffindung
Entenadler	Schreiadler
Entomostraken	Unterklasse
Entre-Côte	Rippenstück
Entrepot	Niederlage
Enyo	Begleiterin
Enzyklopädísten	Herausgeber
Eos	Göttin
Eos	Gemahlin
Epákten	Zahlen
Epaminóndas	Feldherr
Epárch	Statthalter
Epenthese	Einschalten
Ephraïmiten	Spottname
Epierreur	Maschine
Epimythium	Schlußrede
Epistola	Brief
Epistropheus	Halswirbel
Eppishusen	Meister
Erbkaiserliche	Partei
Erbtochter	Verwandte
Erbuntertan	Untertan
Erbunwürdigkeit	Verhalten
Erbvertrag	Vertrag
Erechtheion	Tempel
Eresburg	Grenzfestung
Erfindung	Auffindung
Ergograph	Apparat
Erinna	Freundin
Eriomys	Wollmaus
Ernährungstherapie	Benutzung
Erpressung	Vergehen
Ersatz	Ergänzung
Ersitzung	Erwerbung
Erzguß	Herstellung
E.S.	Meister
Escudero	Adliger
Espingole	Muskete
Eßlingen	Schulmeister
Esten	Bewohner
Estomihi	Sonntag
États généraux	Generalstaaten
Ethologie	Schilderung
Etretat	Seebad
Ettrickschäfer	Beiname
Eudokia	Gemahlin
Euergétes	Beiname
Eugippius	Verfasser
Euklides	Schüler
Eulen nach Athen tragen	Redensart
Eumaios	Sklave
Eunus	Sklave
Eupator	Beiname
Euphemismus	Umschreibung
Eurybiades	Führer
Eurydike	Gemahlin
Eutyches	Archimandrit
Evoe	Jubelruf
Evolena	Pfarrdorf
Ewige Richtung	Vertrag
Exartikulation	Ablösung
Exaudi	Sonntag
Exekution	Realisierung
Extra	Liber
Extravasat	Austritt
Exzellénz	Ehrentitel
Exzelsior	Komparativ
Eyjafjalla	Vulkan
Eyke von Repkow	Verfasser
Fähe	Weibchen
Falisker	Einwohner
Fallbach	Wasserfall
Familiendiebstahl	Diebstahl
Fanchon	Diminutiv
Farm	Landwirtschaft
Farne	Abteilung
Fassondrehbank	Drehbank
Fassonkognak	Nachahmung
Fasten	Enthaltung
Fäulnis	Zersetzung
Faure	Präsident
Febronius	Pseudonym
Februarrevolution	Revolution
Feldbereinigung	Neuordnung
Felddiebstahl	Diebstahl
Feldfriedensbruch	Gehen
Feldfriedensbruch	Reiten
Feldgemeinschaft	Gemeinbesitz
Feldläufer	Goldregenpfeifer
Feldstelze	Brachpieper
Felis	Katze
Felsenkrähe	Alpenkrähe
Felsensegler	Alpensegler
Fennomanen	Partei
Fenstersteuer	Besteuerung
Fère	Festung
Ferrotypie	Photographie
Fettblume	Dotterblume
Fettdrüse	Bürzeldrüse
Fettflechte	Flechte
Fettpflanzen	Pflanzen
Fetwa	Gutachten
Feuerwerkerei	Anfertigung
Fichtenhacker	Hakengimpel
Fiecht	Benediktinerabtei
Filagrámm	Wasserzeichen
Filatorium	Maschine
Finkenhabicht	Sperber
Finkmeise	Kohlmeise
Fischart	Dichter
Fischgeier	Seeadler
Fischläuse	Ruderfüßer
Fischzucht	Pflege
Fisettholz	Kernholz
Fixative	Kreide
Flachrennen	Wettrennen
Flachsspinnerei	Herstellung
Flagellaten	Geißeltierchen
Flaggschiff	Kriegsschiff
Flamininus	Beiname
Flammula	Standarte
Fleisch	Muskelmasse
Fliegenstein	Arsen
Flöte	Blasinstrument
Flötner	Holzschneider
Flottille	Verband
Flügelfrucht	Schließfrucht
Flußotter	Fischotter
Flutometer	Apparat
Fluxion	Strömung
Folz	Meistersänger
Foenum graecum	Bockshornklee
For	Bewohner
Formalismus	Bevorzugung
Formerei	Herstellung
Formica	Ameise
Fort Jameson	Verwaltungssitz
Fort Riley	Militärposten
Forum	Rechtspflege
Léon Foucault	Physiker
Oscar Bardy de Fourtou	Oscar
Fox	Stifter
Foxkanal	Meeresarm
Frame	Waffe
Fränkische Schweiz	Gebirgslandschaft
Frauenberg	Schloß
Fraxinus	Esche
Fredensborg	Schloß
Fregattenkapitän	Seeoffizier
Freibank	Verkaufsstelle
Freibodenmänner	Partei
Freies Deutsches Hochstift	Privatgesellschaft
Freitag	Wochentag
Frigg	Göttin
Froben	Stallmeister
Fröhliche Wiederkunft	Jagdschlößchen
Frumentius	Apostel
Fucus	Blasentang
Fuego	Vulkan
Fu-hi	Gründer
Fund	Stiftung
Funddiebstahl	Verheimlichung
Funki	Neger
Funktionswechsel	Umwandlung
Furlaner	Bewohner
Fürstengroschen	Thüringer
Fürstenmantel	Mantel
Fürstenstein	Schloß
Fusijama	Vulkan
Futoi	Statthalter
Futterdiebstahl	Diebstahl
Fyne	Meerbusen
Gail Hamilton	Pseudonym
Galantuómo	Beiname
Galen	Pseudonym
Galileo Galilei	Physiker
Gallego	Nebenfluß
Gallegos	Bewohner
Gallertflechten	Abteilung
Gallion	Ausbau
Galopp	Gangart
Galvanochromie	Herstellung
Galvanoplástik	Benutzung
Gambette	Rotschenkel
Ganganelli	Familienname
Gänseadler	Seeadler
Gänsegeier	Geier
Gansfort	Vorläufer
Garbenkrähe	Mandelkrähe
Gardíst	Soldat
Gartenbau	Gärtnerei
Gartenbilch	Gartenschläfer
Gast	Matrose
Gauch	Kuckuck
Gauermann	Zeichner
Gault	Unterabteilung
Gaumen	Scheidewand
Gauting	Eremit
Gebirgsgeschütz	Geschütz
Gebühren	Vergütung
Ged	Goldschmied
Gediegen	Silber
Gehirnblasenwurm	Drehwurm
Gehirnlähmung	Aufhebung
Geierseeadler	Raubvogel
Johs. von Geissel	Erzbischof
Geistiges Eigentum	Urheberrecht
Gelbholz	Kernholz
Gelbveigelein	Goldlack
Geldbrief	Brief
Generalinquisitor	Vorsteher
Generalstab	Korps
Gennadios II.	Patriarch
Genoud	Erfinder
Gentilen	Angehörige
Ger	Wurfspieß
Gerade Aufsteigung	Rektaszension
Geschütz	Feuerwaffe
Geschwindschritt	Marschtempo
Gestellung	Vorführung
Gestütbuch	Verzeichnis
Gesundheitsgeschirr	Küchengeschirr
Getränkesteuer	Steuer
Geusen	Parteiname
Gewährleistung	Haftung
Gewerbeschein	Bescheinigung
Gewürzinseln	Molukken
Giebel	Begrenzung
Gigantostraken	Unterklasse
Gigerl	Wiener
Gila	Nebenfluß
Gipsverband	Verband
Giralda	Glockenturm
Girasol	Mondstein
Gitano	Zigeuner
James Glaisher	Physiker
Glasachat	Obsidian
Glasgalle	Verunreinigung
Glasgießerei	Herstellung
Glasschlange	Blindschleiche
Glauber	Chemiker
Glaukopis	Beiname
Gleicher	Verdeutschung
Glockenspiel	Musikinstrument
Glowacki	Pseudonym
Glücksburg	Seebad
Glühstrumpf	Glühkörper
Glutol	Einwirkung
Glykon	Bildhauer
Goar	Heiliger
Gog und Magog	Fürst
Gold	Metall
Goldafter	Schmetterling
Goldener Schnitt	Teilung
Goldforelle	Bachforelle
Goldhenne	Goldlaufkäfer
Goldkiebitz	Goldregenpfeifer
Goldköpfchen	Wintergoldhähnchen
Goldschlägerei	Fabrikation
Goldtaucher	Pinguin
Golgatha	Hügel
Golkonda	Festung
Golkvogel	Mandelkrähe
Gonochorismus	Verteilung
Gorjiu	Kleine
Gorkha	Volksstamm
Gorodowój	Schutzmann
Gottesfriede	Verbot
Gotteskasten	Barvermögen
Gotteskühchen	Marienkäfer
Gottorp	Schloß
Gourock	Seebad
Gouverneur	Befehlshaber
Gradierwage	Aräometer
Gradiska	Festung
Granatkorb	Reuse
Grand	Pseudonym
Granitpapier	Papier
Ulysses Simpson Grant	Ulysses
Graphideen	Abteilung
Grasmilbe	Larve
Grauhof	Klostergut
Graukopf	Grauspecht
Graumeise	Sumpfmeise
Henri Grégoire	Bischof
Greif	Pseudonym
Grenzfälschung	Unkenntlichmachung
Grien	Beiname
Grillvogel	Goldregenpfeifer
Großer Kurfürst	Kurfürst
Grottentaube	Felsentaube
Grün	Beiname
Grundföhre	Seeforelle
Grundlsee	Alpensee
Gründonnerstag	Donnerstag
Grundrechte	Rechte
Grundschuld	Pfandrecht
Grünmais	Futtermais
Grünsand	Glaukonit
Gryphus	Greif
Gualillos	Vulkan
Guanchen	Urbewohner
Gugelhopf	Süddeutschland
Guildhall	Rathaus
Guise	Festung
Gurd	Silbermünze
Gutenberg	Erfinder
Guzmán Blanco	Präsident
Gyritz	Lachmöwe
Gyrometer	Apparat
Haarbusch	Tschako
Haar der Berenice	Sternbild
Hacht	Habicht
Hadlaub	Minnesänger
Hadschi	Ehrenname
Haftpflichtversicherung	Versicherung
Hagelgans	Saatgans
Hagelversicherung	Versicherung
Hagioskop	Apparat
Hahnrei	Spottname
Haidá	Indianerstamm
Hainbund	Göttinger
Halbmond	Wahrzeichen
Hallberg-Broich	Reichsfreiherr
Halometer	Aräometer
Hämatose	Umwandlung
Hamilton	Pseudonym
Hamilton	Erfinder
Hämorrhoiden	Erweiterung
Hamstermaus	Schermaus
Handarbeitsunterricht	Anleitung
Handel	Industrie
Handelsgesetzbuch	Kodifikation
Handwechsel	Umtausch
Handwerk	Betrieb
Hängekompaß	Kompaß
Hängen	Erstickungstod
Harburger	Zeichner
Harpagus	Minister
Harpalus	Schatzmeister
Harper's Ferry	Städtchen
Hartington	Marquis
Harvard-Universität	Universität
Harzer Sauerbrunnen	Mineralquelle
Hasdrubal	Schwiegersohn
Haselrüsselkäfer	Haselnußbohrer
Hauffe	Seherin
Haurakigolf	Meerbusen
Hausdiebstahl	Diebstahl
Hausfideïkommiß	Stammgut
Hausierhandel	Handel
Hausierhandel	Gewerbebetrieb
Hauskauz	Steinkauz
Hausse	Steigen
Haussuchung	Durchsuchung
Havelock	Herrenmantel
Hebe	Göttin
Heber	Apparat
Hebräische Literatur	Nationalliteratur
Hebriden	Western
