Aali Pascha	1815
Albrecht Prinz von Preußen	8. Mai 1837
Albrecht	17. Juli 1443
Albrecht Herzog von Sachsen-Teschen	11. Juli 1738
Schriftsteller Albrecht	24. Aug. 1420
Wilhelm Eduard Albrecht	4. März 1800
Albret	7. Jan. 1528
Albuquerque	1453
Louisa May Alcott	29. Nov. 1833
Thomas Bailey Aldrich	11. Nov. 1836
Aldridge	13. April 1804
Aldringer	10. Dez. 1588
Hieronymus Aleander	13. Febr. 1480
Aleardo Aleardi	4. Nov. 1812
Alecsandrescu	1812
Alecsandri	1821
Alembert	16. Nov. 1717
José Martiniano de Alencar	1. Mai 1829
Paul Aler	9. Nov. 1656
Alexander I.	5. April 1857
Alexander Prinz von Hessen	15. Juli 1823
Alexander I. Pawlowitsch	23. Dez. 1777
Alexander II. Nikolajewitsch	29. April 1818
Alexander III. Alexandrowitsch	10. März 1845
Alexander Karadjordjewitsch Fürst von Serbien	11. Okt. 1806
Alexander I.	14. Aug. 1876
Alexander Newskij	30. Mai 1220
Alexéj Michajlowitsch	19. März 1629
Alexéj Petrówitsch	28. Febr. 1690
Alexéj Alexandrowitsch	14. Jan. 1850
Großfürst-Thronfolger von R Alexéj Nikolajewitsch	30. Juli 1904
Jewgenij Iwanowitsch Alexejew	23. Mai 1843
Alexios I.	1048
Vittorio Alfieri	17. Jan. 1749
Alfons V.	1401
Alfons X.	1226
Alfons I.	1110
Alfons V.	1432
Alfons I.	12. Aug. 1643
Alfons XII.	28. Nov. 1857
Alfons XIII.	17. Mai 1886
Alfred Herzog von Sachsen-Coburg-Gotha	6. Aug. 1844
Ali	1741
Alice Großherzogin von Hessen	25. April 1843
Sir Archibald Alison	29. Dez. 1792
Grant Allen	24. Febr. 1848
Wilhelm Allers	6. Aug. 1857
William Allingham	19. Mai 1824
Hermann Allmers	11. Febr. 1821
Allori	1535
Washington Allston	5. Nov. 1779
Sir Laurens Alma Tadema	8. Jan. 1836
João Baptista de Almeida-Garrett	4. Febr. 1799
Karl Jonas Ludwig Almqvist	28. Nov. 1793
Rudolph von Alt	28. Aug. 1812
Karl Freiherr von Stein zum Altenstein	7. Okt. 1770
Joseph Wilhelm Eduard d'Alton	11. Aug. 1772
Alvensleben	23. März 1794
Joseph Alvinczy	1. Febr. 1735
Johann Baptiste von Alxinger	24. Jan. 1755
Amadeus	1249
Ferdinand Maria Amadeus	30. Mai 1845
Amalia	24. Okt. 1739
Amalie	10. Aug. 1794
Michele Amari	7. Juli 1806
Amboise	1460
Johanna Ambrosius	3. Aug. 1854
Amman	1539
Ammanati	1511
Friedrich August von Ammon	10. Sept. 1799
André Marie Ampère	22. Jan. 1775
Nikolaus von Amsdorf	3. Dez. 1483
Jacques Amyot	30. Okt. 1513
Ancillon	30. April 1767
Johann Jakob Anckarström	11. Mai 1762
Pietro Anderloni	12. Okt. 1784
Hans Christian Andersen	2. April 1805
Anders Andersen-Lundby	16. Dez. 1841
Andrássy	8. März 1823
Louis Joseph Nicolas André	29. März 1838
Johann Valentin Andreä	17. Aug. 1586
Karl Andree	20. Okt. 1808
Salomon Andrée	18. Okt. 1854
Angelus Silesius	1624
Pietro Martire d'Anghiera	2. Febr. 1455
Angoulême	6. Aug. 1775
Auguste Anicet-Bourgeois	25. Dez. 1806
Anna Komnena	1. Dez. 1083
Anna	1515
Anna Königin von Frankreich	26. Jan. 1476
Anna Königin von Frankreich	22. Sept. 1601
Anna Königin von Großbritannien und Irland	6. Febr. 1665
Anna Iwánowna	28. Jan. 1693
Anna Leopóldowna	18. Dez. 1718
Anna	25. Nov. 1532
Michail Nikolajewitsch Annenkow	12. Mai 1835
Annunzio	1864
Heinrich Anschütz	8. Febr. 1785
Ottomar Anschütz	16. Mai 1846
Eduard Anseele	25. Juli 1856
Anselm	1033
Antokolski	1843
Anton Ulrich Herzog von Braunschweig-Wolfenbüttel	4. Okt. 1633
Anton Ulrich	28. Aug. 1714
Anton König von Sachsen	27. Dez. 1755
Giacomo Antonelli	2. April 1806
Joannes Antonides	3. Mai 1647
Heiliger Antonius	15. Aug. 1195
Ludwig Anzengruber	29. Nov. 1839
Apási	1632
Johann August Apel	17. Sept. 1771
Apianus	1495
Familie Apponyi	4. Dez. 1751
Apráxin	1671
Dominique François Arago	26. Febr. 1786
Alexej Andrejewitch Araktschéjew	4. Okt. 1769
János Arany	2. März 1817
Manoel de Araujo Porto Alegre	29. Nov. 1806
M Arbois de Jubainville	5. Dez. 1827
Arbues	1442
Johann Wilhelm Archenholz	3. Sept. 1743
Arenberg	3. Juli 1750
Leopold Alexander Friedrich Arends	1. Dez. 1817
Otto Arendt	10. Okt. 1854
Wilhelm Arendt	7. März 1864
Paul August Arène	26. Juni 1843
Alexander von Arentschildt	14. Okt. 1806
Kristian Arentzen	10. Nov. 1823
Pietro Aretino	20. April 1492
Argand	1755
Friedrich Wilhelm August Argelander	22. März 1799
Jean Baptiste de Boyer Argens	24. Juni 1704
Lupercio Leonardo de Argensola	14. Dez. 1559
Marc René de Voyer d'Argenson	4. Nov. 1652
George John Douglas Campbell Argyll	30. April 1823
Argyropulos	1416
Cesare Arici	2. Juli 1782
Lodovico Ariosto	8. Sept. 1474
Sir Richard Arkwright	23. Dez. 1732
Ferdinand Arlt	18. April 1812
Joseph Ludwig Armansperg	28. Febr. 1787
Arminianer	1560
Edward Armitage	20. Mai 1817
George Francis Savage-Armstrong	5. Mai 1845
William George Armstrong	26. Nov. 1810
Antoine Arnauld	16. Febr. 1612
Johann Arnd	27. Dez. 1555
Ernst Moritz Arndt	26. Dez. 1769
Arne	1710
Joseph Calasanza Arneth	12. Aug. 1791
Arnim	26. Jan. 1781
Arni Magnusson	23. Nov. 1663
Christoph Arnold	17. Dez. 1650
Sir Edwin Arnold	10. Juni 1832
Georg Daniel Arnold	18. Febr. 1780
Thomas Arnold	13. Juni 1795
Wilhelm Arnold	28. Okt. 1826
Youri von Arnold	1. Nov. 1811
Arnold-Forster	1855
Ernst Wilhelm Arnoldi	21. Mai 1778
Wilhelm Arnoldi	4. Jan. 1798
Sophie Arnould	14. Febr. 1744
Arnulf Prinz von Bayern	6. Juli 1852
Juan de Arolas	20. Juni 1805
Svante August Arrhenius	19. Febr. 1859
Jean Toussaint A. di Casanova Arrighi	8. März 1778
Chester Allan Arthur	5. Okt. 1830
Désirée Artôt	21. Juli 1835
Adolf Asch	30. Okt. 1839
Joseph Aschbach	29. April 1801
Graziadio Isaia Ascoli	16. Juli 1829
Adam Asnyk	11. Sept. 1838
Herbert Henry Asquith	12. Sept. 1852
Ludmilla Assing	22. Febr. 1821
Ernst Ludwig von Aster	5. Okt. 1778
Johann Jakob Astor	17. Juli 1763
Asturien	30. Nov. 1901
Per Daniel Amadeus Atterbom	19. Jan. 1790
Théodore Aubanel	26. März 1829
Daniel François Esprit Auber	29. Jan. 1782
Aubigné	8. Febr. 1552
Aubusson	1423
Audiffret-Pasquier	20. Okt. 1823
John James Audubon	4. Mai 1780
Aloys Auer	11. Mai 1813
Ignaz Auer	19. April 1846
Leopold von Auer	8. Juni 1845
Berthold Auerbach	28. Febr. 1812
Hans Jakob von Auerswald	25. Juli 1757
Theodor Aufrecht	7. Jan. 1821
Hans Aufseß	7. Sept. 1801
Augereau	11. Nov. 1757
August Großherzog von Oldenburg	16. Nov. 1852
August Wilhelm Prinz von Preußen	9. Aug. 1722
August	19. Sept. 1779
August Kurfürst von Sachsen	31. Juli. 1526
August II.	12. Mai 1670
August III.	7. Okt. 1696
August Herzog zu Sachsen-Gotha und Altenburg	23. Nov. 1772
Friedrich Eberhard August	24. Jan. 1813
Augusta	30. Sept. 1811
Auguste Viktoria	22. Okt. 1858
Augustenburger Linie	11. Aug. 1863
François Victor Alphonse Aulard	19. Juli 1849
Aumale	16. Jan. 1822
Aurangseb Großmogul von Hindustan	20. Okt. 1619
Schriftsteller Aurbacher	26. Aug. 1784
Loui Aurelle de Paladines	9. Jan. 1804
Jane Austen	16. Dez. 1775
Alfred Austin	30. Mai 1835
Arthur Auwers	12. Sept. 1838
Avé-Lallemant	23. Mai 1809
Ferdinand Avenarius	20. Dez. 1856
Richard Avenarius	19. Nov. 1843
Averrhoës	1126
Avogadros Gesetz	9. Aug. 1776
Axel	1128
Ayala	März 1829
William Edmonstoune Aytoun	21. Juni 1813
Massimo Tapparelli Azeglio	24. Okt. 1798
Franz Xaver von Baader	27. März 1765
Sahīr ud-dīn Muhammad Babar	14. Febr. 1483
Ernest Babelon	7. Nov. 1854
Babeuf	23. Nov. 1760
Joseph Marius von Babo	14. Jan. 1756
Guido Baccelli	25. Nov. 1832
Felice Pasquale Bacciochi	18. Mai 1762
Alexander Bach	4. Jan 1813
Johann Sebastian Bach	21. März 1685
Bachem	1787
Adolf Bachmann	27. Jan. 1849
Jakob Bächtold	27. Jan. 1848
Otto Back	30. Okt. 1834
Backhuysen	1631
Baco	1214
Francis Bacon	22. Jan. 1561
Olivier Bacquehem	25. Aug. 1847
Kasimir Felix Badeni	14. Okt. 1846
Robert Stephenson Smyth Baden-Powell	22. Febr. 1857
Baffin	1584
Walter Bagehot	3. Febr. 1826
Jens Baggesen	15. Febr. 1764
Adolf Baginsky	22. Mai 1843
Bagnacavallo	1484
Bagration	1765
Julius Bahnsen	30. März 1830
Hermann Bahr	19. Juli 1863
Bähr	1666
Karl Friedrich Bahrdt	25. Aug. 1741
Baïf	1532
Edward Hodges Baily	10. März 1788
Bain	1818
Bain	1810
Spencer Fullerton Baird	3. Febr. 1823
Hermann Baisch	12. Juli 1846
Bajazet	1347
Bajus	1513
Sir Samuel White Baker	8. Juni 1821
Bakúnin	1814
Victor Balaguer	11. Dez. 1824
Don Pietro Balan	3. Sept. 1840
Balart	1831
Cesare Balbo	21. Nov. 1789
Balboa	1475
August Karl Eduard Baldamus	18. April 1812
Jakob Balde	4. Jan. 1604
Bernardino Baldi	6. Juni 1553
Antonio Baldissera	27. Mai 1838
Balduin	1171
Balduin	1058
Balduin	1285
Michael William Balfe	15. Mai 1808
Arthur James Balfour	25. Juli 1848
Baliol	1260
Franz Ballestrem	5. Sept. 1834
Albert Ballin	15. Aug. 1857
Honoré de Balzac	20. Mai 1799
Balzac	1597
Alfonso Balzico	19. Okt. 1825
Ludwig Bamberger	22. Juli 1823
George Bancroft	3. Okt. 1800
Hubert Howe Bancroft	5. Mai 1832
Ernst von Bandel	17. Mai 1800
Bandello	1480
Johann Banér	23. Juni 1596
Desider Bánffy	28. Okt. 1843
Bang	1857
Valérand de Bange	17. Okt. 1833
John Banim	3. April 1798
Otto Baensch	6. Juni 1825
Théodore de Banville	14. März 1823
Karl Ernst von Baer	28. Febr. 1792
Kasimir Stanislawowitsch Baranzewitsch	3. Juni 1851
Oreste Baratieri	13. Nov. 1841
Edouard Barbey	2. Sept. 1831
Auguste Barbier	29. April 1805
Jules Barbier	8. März 1822
Manoel Maria Barbosa du Bocage	15. Sept. 1765
Michael Barclay de Tolly	27. Dez. 1761
Adolf von Bardeleben	1. März 1819
Ernst Bareuther	19. Jan. 1838
Barfuß	1635
Woldemar Bargiel	3. Okt. 1828
Richard Harris Barham	6. Dez. 1788
Barhebräus	1226
Barker	1790
Kaspar Barlaeus	12. Febr. 1584
Barnardo	1845
Ludwig Barnay	11. Febr. 1842
Josef Bärnreither	12. April 1845
Phineas Taylor Barnum	5. Juli 1810
Cäsar Baronius	30. Okt. 1538
Barrande	1799
Paul Jean François Nicolas Barras	30. Juni 1755
Maurice Barrès	17. Aug. 1862
Ernest Barrias	13. April 1841
James Matthew Barrie	9. Mai 1860
Barrière	1823
Barrili	1836
Odilon Barrot	19. Juli 1791
Sir Charles Barry	23. Mai 1795
Bart	1651
Adolf Bartels	15. Nov. 1862
Hans von Bartels	25. Dez. 1856
Bartenstein	1689
Heinrich Barth	16. Febr. 1821
Theodor Barth	16. Juli 1849
Karl Barthel	21. Febr. 1817
Barthélemy	1796
François Barthélemy	20. Okt. 1747
Jean Jacques Barthélemy	20. Jan. 1716
Jules Barthélemy Saint-Hilaire	19. Aug. 1805
Friedrich Wilhelm Barthold	4. Sept. 1799
Frédéric Auguste Bartholdi	2. April 1834
Jakob Salomo Bartholdy	13. Mai 1779
Bartholinsche Drüsen	1655
Albert Bartholomé	29. Aug. 1848
Jean Louis Barthou	25. Aug. 1862
Adolfo Bartoli	19. Nov. 1833
Bartolommeo	1475
Bernard Barton	31. Jan. 1784
Adam Bartsch	17. Aug. 1757
Karl Bartsch	25. Febr. 1832
Antoine de Bary	26. Jan. 1831
Barzaghi	1839
Maria Konstantinowna Baschkírzew	23. Nov. 1860
Johann Bernhard Basedow	11. Sept. 1723
Bassano	1510
Ernst Bassermann	26. Juli 1854
Friedrich Daniel Bassermann	24. Febr. 1811
Bastardpflanzen	1822
Adolf Bastian	26. Juni 1826
Frédéric Bastiat	29. Juni 1801
Jules Bastide	22. Nov. 1800
Jules Bastien-Lepage	1. Nov. 1848
Báthory	1522
Batoni	1708
Karl Ferdinand Batsch	10. Jan. 1831
Abbé Charles Batteux	6. Mai 1713
Batthyányi	1697
Pierre Charles Baudelaire	9. April 1821
Baudissin	1579
Sophus Bauditz	23. Okt. 1850
J Baudouin de Courtenay	13. März 1845
Baudry	1828
Bruno Bauer	6. Sept. 1809
Karoline Bauer	29. März 1807
Klara Bauer	23. Juni 1836
Wilhelm Bauer	23. Dez. 1822
Adolf Bäuerle	9. April 1786
Karl Maximilian von Bauernfeind	28. Nov. 1818
Eduard von Bauernfeld	13. Jan. 1802
Kaspar Bauhin	17. Jan. 1560
Alexander Baumann	7. Febr. 1814
Oskar Baumann	25. Juni 1864
Max Baumbach	28. Nov. 1859
Rudolf Baumbach	28. Sept. 1840
Antoine Baumé	26. Febr. 1728
Bernhard Baumeister	28. Sept. 1828
Hermann Baumgarten	28. April 1825
Siegmund Baumgarten	14. März 1706
Ludwig Friedrich Otto Baumgarten-Crusius	31. Juli 1788
Alexander Baumgartner	27. Juni 1841
Albert Baur	13. Juli 1835
Ferdinand Christian Baur	21. Juni 1792
Gustav Baur	14. Juni 1816
Johann Bauschinger	11. Juni 1834
Richard Baxter	12. Nov. 1615
Jean François Alfred Bayard	17. März 1796
Bayard	1476
Bayer	1572
Karl Robert Emmerich von Bayer	15. April 1835
Bayer*	12. Nov. 1850
Johann Jakob Baeyer	5. Nov. 1794
Marie Bayer-Bürck	30. Okt. 1820
Bayerle	1826
Pierre Bayle	18. Nov. 1647
Bayrischer Hiesel	1738
François Achille Bazaine	13. Febr. 1811
René Bazin	20. Dez. 1853
Antonio Bazzini	11. März 1818
Beaconsfield	21. Dez. 1804
Beaton	1494
James Beattie	25. Okt. 1735
Beatus Rhenanus	1485
Alexandre Beauharnais	28. Mai 1760
Beaulieu-Marconnay	5. Sept. 1811
Pierre Augustin Car Beaumarchais	24. Jan. 1732
Beaumont	1584
Beaune	1601
Wilhelm Jakob van Bebber	10. Juli 1841
August Bebel	22. Febr. 1840
Bebel	1472
Becanus	1550
Beccafumi	1486
Cesare Bonesano de Beccaria	15. März 1738
Johann Matthäus Bechstein	11. Juli 1757
Karl Bechstein	1. Juni 1826
Friedrich Beck	21. März 1830
Beck	1760
Karl Beck	1. Mai 1817
Ludwig Beck	10. Juli 1841
August Becker	27. Jan. 1821
August Becker	27. April 1828
Christiane Becker	15. Dez. 1778
Hermann Becker	15. Sept. 1820
Becker	1810
Jean Becker	11. Mai 1833
Karl Becker	18. Dez. 1820
Karl Ferdinand Becker	14. April 1775
Becker	1777
Nik. Becker	8. Jan. 1809
Oskar Becker	18. Juni 1839
Becker	1796
Hermann von Beckerath	13. Dez. 1801
Beckerath	1838
Beckford	1759
Fritz Beckmann	13. Jan. 1803
Ludwig Beckmann	21. Febr. 1822
Peter Johann Beckx	8. Febr. 1795
Henri Becque	9. April 1837
Antoine César Becquerel	7. März 1788
Herzogtitel Bedford	20. Juni 1389
Adolf Beer	27. Febr. 1831
Michael Beer	19. Aug. 1800
Richard Beer-Hofmann	11. Juli 1866
August Marie François Beernaert	24. Juli 1829
Ludwig van Beethoven	16. Dez. 1770
Nikolas Beets	13. Sept. 1814
Karl Begas	30. Sept. 1794
Otto Behaghel	3. Mai 1854
Behaim	1416
Beham	1502
Max Beheim-Schwarzbach	15. April 1839
Jakob Friedrich Behrend	13. Sept. 1833
Bertha Behrens	7. Sept. 1850
Emil von Behring	15. März 1854
Behrisch	1738
Friedrich Konrad Beilstein	17. Febr. 1838
Gottfried Christoph Beireis	2. März 1730
Heinrich Beitzke	15. Febr. 1798
Charles Tilstone Beke	10. Okt. 1800
Elisabeth Bekker	24. Juli 1738
Immanuel Bekker	21. Mai 1785
Richard Belcredi	12. Febr. 1823
Belimarkovic	1828
Alexander Graham Bell	3. März 1847
Bell	1753
Edward Bellamy	26. März 1850
Jakobus Bellamy	12. Nov. 1757
Hippolyte Bellangé	16. Jan. 1800
Robert Bellarmin	4. Okt. 1542
Heinrich Bellegarde	29. Aug. 1756
Belleisle	22. Sept. 1684
Giuseppe Gioachino Belli	10. Sept. 1791
Fabian Gottlieb von Bellingshausen	20. Sept. 1778
Lorenzo Bellini	3. Sept. 1643
Vincenzo Bellini	3. Nov. 1801
Karl Michael Bellman	4. Febr. 1740
Julius Alwin Beloch	21. Jan. 1854
Adolphe Belot	6. Nov. 1829
Georg von Below	19. Jan. 1858
Bem	1791
Pietro Bembo	20. Mai 1470
Benckendorff	1783
Julius Benczur	28. Jan. 1844
Georg Benda	30. Juni 1722
Robert von Benda	18. Febr. 1816
Eduard Bendemann	3. Dez. 1811
Georg Friedrich Benecke	10. Juni 1762
Ludwig Benedek	14. Juli 1804
Pierre Joseph van Beneden	19. Dez. 1809
Vincent Benedetti	29. April 1817
Sir Julius Benedict	27. Nov. 1804
Viktoria Maria Benedictsson	6. März 1850
Roderich Benedix	21. Jan. 1811
Friedrich Eduard Beneke	17. Febr. 1798
Theodor Benfey	28. Jan. 1809
Johann Albr. Bengel	24. Juni 1687
José Benlliure y Gil	1. Okt. 1855
Otto Benndorf	13. Sept. 1838
James Gordon Bennett	1. Sept. 1795
Bennigsen	10. Febr. 1745
Benno	1010
Jeremy Bentham	15. Febr. 1748
Bentinck	1649
Richard Bentley	27. Jan. 1662
Bentzon	21. Sept. 1840
Benyowszky	1741
Christian Ernst Benzel-Sternau	9. April 1767
Willibrord Benzler	16. Okt. 1853
Pierre Jean de Béranger	19. Aug. 1780
Beresford	2. Okt. 1768
Ilja Nikolajewitsch Berésin	19. Juli 1818
Christen Berg	18. Dez. 1829
Friedrich Wilhelm Rembert	27. Mai 1790
Hugo Berger	6. Okt. 1836
Johann Berger	11. April 1845
Johann Nepomuk Berger	16. Sept. 1816
Bergerac	1619
Emile Bergerat	29. April 1845
Johann Edvard Bergh	29. März 1828
Pieter Theodor Helvetius van den Bergh	13. Febr. 1795
Heinrich Berghaus	3. Mai 1797
Berghem	1620
Theodor Bergk	22. Mai 1812
Torbern Olof Bergman	20. März 1735
Ernst von Bergmann	16. Sept. 1836
Julius Bergmann	1. April 1840
Jürgen Wilhelm Bergsöe	8. Febr. 1835
Bering	1680
Berkeley	12. März 1684
Hans Hermann Berlepsch	30. März 1843
Berlichingen	1476
Nils Johan Berlin	18. Febr. 1812
Hector Berlioz	11. Dez. 1803
Maximilian Bern	13. Nov. 1849
Claude Bernard	12. Juli 1813
Jakob Bernays	11. Sept. 1824
Karl Bernbrunn	7. Nov. 1787
Karl Gustav von Berneck	28. Okt. 1803
Albert Friedrich Berner	30. Nov. 1818
Bernhard	1140
Bernhard	10. Sept. 1649
Bernhard Erich Freund Herzog von Sachsen-Meininge	17. Dez. 1800
Bernhard Erbprinz von Sachsen-Meiningen und Hildb	1. April 1851
Bernhard Herzog von Sachsen-Weimar	16. Aug. 1604
Karl Bernhard	30. Mai 1792
Bernhard	1091
Karl Bernhard	18. Nov. 1798
Theodor von Bernhardi	6. Nov. 1802
Heiliger Bernhardin	8. Sept. 1380
Sarah Bernhardt	22. April 1843
Gottfried Bernhardy	20. März 1800
Ernst Bernheim	19. Febr. 1850
Berni	1497
Lorenzo Bernini	7. Dez. 1598
François Joachim de Pierres de Bernis	22. Mai 1715
Bernoulli	27. Dez. 1654
Bernstein	1812
Eduard Bernstein	6. Jan. 1850
Bernstein	29. Okt. 1866
Johann Hartwig Ernst Bernstorff	13. Mai 1712
Berruguete	1480
Charles Ferdinand Berry	24. Jan. 1778
Pierre Antoine Berryer	4. Jan. 1790
Bersezio	1830
Paul Bert	17. Okt. 1833
Henri Maurice Berteaux	3. Juni 1852
Marcellin Pierre Eugène Berthelot	25. Okt. 1827
Elie Bertrand Berthet	9. Juni 1815
Alexandre Berthier	20. Febr. 1753
Berthold	1442
Claude Louis Berthollet	9. Nov. 1748
Domenico Berti	17. Dez. 1820
Bertillonsystem	1853
Henri Bertini	28. Okt. 1798
Alexandre Bertrand	28. Juni 1820
Henri Gratien Bertrand	28. März 1773
Friedrich Justin Bertuch	30. Sept. 1747
James Fitzjames Berwick	21. Aug. 1670
Johann Jakob Berzelius	29. Aug. 1779
Sir Walter Besant	14. Aug. 1836
Alexander Andrejewitsch Besboródko	25. März 1747
Georg Beseler	2. Nov. 1809
Bernhard von Beskow	22. April 1796
Bessarion	1395
Friedrich Wilhelm Bessel	22. Juli 1784
Johann Georg Bessel	5. Sept. 1672
Bessemer	1813
Jean Baptiste Bessières	6. Aug. 1768
Alexander Alexandrowitsch Bestúshew	3. Nov. 1795
Alexej Petrowitsch Bestúshew-Rjúmin	2. Juni 1693
Bestúshew-Rjúmin	1829
Bethlen Gábor	1580
Friederike Bethmann	24. Jan. 1760
Moritz August von Bethmann-Hollweg	8. April 1795
Theobald von Bethmann-Hollweg	29. Nov. 1856
Eduard Georg Bethusy-Huc	3. Sept. 1829
Bethusy-Huc	15. Juni 1849
Anton Bettelheim	18. Nov. 1851
Giovanni Bettolo	25. Mai 1846
Franz Betz	19. März 1835
Charles Erneste Beulé	29. Juni 1826
Karl Moritz von Beurmann	28. Juli 1835
Beust	13. April 1806
Friedrich Ferdinand Beust	13. Jan. 1809
Peter Christian Wilhelm Beuth	28. Dez. 1781
August Wilhelm Bevern	10. Okt. 1715
Klemens Bewer	30. Mai 1820
Thomas Bewick	12. Aug. 1753
August Beyer	30. April 1834
Gustav Friedrich von Beyer	26. Febr. 1812
Konrad Beyer	13. Juli 1834
Franz Adam Beyerlein	22. März 1871
Marie Henri Beyle	23. Jan. 1783
Karl Friedrich Beyme	10. Juli 1765
Ernst Beyrich	31. Aug. 1815
Klementine Beyrich	9. Okt. 1825
Robert Beyschlag	1. Juli 1838
Willibald Beyschlag	5. Sept. 1823
Theodor von Beza	24. Juni 1519
Friedrich von Bezold	26. Dez. 1848
Wilhelm von Bezold	21. Juni 1837
Adalbert Bezzenberger	14. April 1851
Nicomede Bianchi	20. Sept. 1818
Bianchi	20. Febr. 1768
François Biard	27. Juni 1801
