Stückfaß	Stück
Großjährigkeit	Mündigkeit
Grubengas	Sumpfgas
Grubengas	Methan
Grundluft	Bodenluft
Grünkorn	Grünkern
Halbkugel	Hemisphäre
Halbmesser	Radius
Harn	Urin
Harnisch	Panzer
Harnkolik	Harnverhaltung
Hart	Haar
Hartgummi	Ebonit
Hartmetall	Weißmetall
Hasenhacke	Rehbein
Hausenblase	Fischblase
Ansteckung	Infektion
Heilkunde	Heilkunst
Heilmittellehre	Arzneimittellehre
Hein	Hain
Heliotrop	Sonnenwende
Antillen	Westindien
Abszeß	Eiterbeule
Antimonglanz	Antimonit
Antimonglanz	Stibnit
Hundswut	Tollwut
Abtrift	Abdrift
Imprägnation	Imprägnierung
Infernal	infernalisch
Abweichung	Deklination
Appretur	Ausrüstung
Approximation	Annäherung
Jück	Joch
Kirchenbann	Bann
Klangfarbe	Klang
Kni	Knie
Kni	Kniegelenk
Koagulieren	Koagulation
Kuhpocke	Vakzine
Lab	Laab
Arseneisen	Löllingit
Arsenkies	Arsenopyrit
Landwirtschaft	Ökonomie
Arthur	Port
Arundo	Rohr
Lebensfähigkeit	Vitalität
Lee	Leeseite
Leiche	Leichnam
Leistengegend	Leiste
Lid	Augenlid
Liebesapfel	Tomate
Linard	Piz
Lungenentzündung	Pneumonie
Lungensucht	Lungentuberkulose
Lustgas	Lachgas
Lymphe	Milchsaft
Magenbrei	Speisebrei
Magneteisenerz	Magnetit
Ästuarium	Trichtermündung
Malaiischer Archipel	Indonesien
Malaita	Mala
Maltose	Malzzucker
Mandragora	Alraun
Acht	Bann
Maree	Loch
Atmung	Respiration
Mauerbohrer	Fuchs
Mauerbohrer	Krebs
Medizin	Heilkunst
Mehrzahl	Plural
Me-kong	Kambodscha
Menhaden	Bunker
Menstruation	Regel
Menstruation	Periode
Mercurius	Merkur
Metrischer Zentner	Doppelzentner
Milchzucker	Laktose
Militärhoheit	Militärgewalt
Milzstechen	Seitenstechen
Auftakt	Aufschlag
Auftakt	Aufstrich
Aufzug	Fahrstuhl
Aufzug	Lift
Mittag	Süden
Mitternacht	Norden
Moderationsrecht	Minderungsrecht
Montabaurer Höhe	Wald
Montan	montanistisch
Moor	Bruch
Moralisch	moralisieren
Moresby	Port
Morgenpunkt	Osten
Morgenstern	Luzifer
Mosambik	Mozambique
Moschus	Bisam
Ausfuhr	Export
Muskelatrophie	Muskelschwund
Mutterrecht	Matriarchat
Mystik	Mystizismus
Ausschnitt	Sektor
Nacken	Genick
Nahrungsbrei	Speisebrei
Naturalisation	naturalisieren
Naturgas	Erdgas
Naturwissenschaft	Naturkunde
Auszehrung	Schwindsucht
Auszug	Altenteil
Nephrit	Nierenstein
Nervenschwäche	Neurasthenie
Netzmagen	Haube
Neupommern	Neubritannien
Nickelarsenkies	Gersdorffit
Nickelkies	Millerit
Nominalwert	Nennwert
Nordholländischer Kanal	Nordkanal
Nordpolarländer	Arktis
Normalnullpunkt	Normalnull
Nueva Bermeja	Colón
Onanie	Masturbation
Opener	Öffner
Backe	Wange
Ot	Piz
Papaver	Mohn
Petroleum	Erdöl
Balchán	Balkan
Pferdestaupe	Influenza
Phorbantia	Levanzo
Phosphin	Xanthin
Physiologische Zeit	Reaktionszeit
Piper	Pfeffer
Pistacia	Pistazie
Plazénta	Mutterkuchen
Pleuelstange	Schubstange
Plexus	Geflecht
Pocken	Blattern
Polarstern	Nordstern
Pollen	Blütenstaub
Bambusa	Bambusrohr
Porös	Porosität
Porree	Lauch
Preßluft	Druckluft
Provinzial	provinziell
Quecksilberchlorid	Sublimat
Quecksilberchlorür	Kalomel
Rachen	Rachenhöhle
Rachen	Schlund
Ram	Sporn
Räude	Krätze
Räude	Grind
Rauhgewicht	Schrot
Regeling	Regelung
Regréß	Rückgriff
Rehe	Verschlag
Reibung	Friktion
Reichskleinodien	Reichsinsignien
Reïs	Real
Rheinpfalz	Pfalz
Rheinprovinz	Rheinland
Ries	Riese
Rindern	stieren
Roggen	Korn
Rohfaser	Holzfaser
Rohrzucker	Rübenzucker
Rohrzucker	Saccharose
Rotzkrankheit	Rotz
Rückfalltyphus	Rückfallfieber
Ruhr	Dysenterie
Rundiste	Rand
Rusein	Piz
Adjektiv	Beiwort
Bauernwetzel	Ziegenpeter
Bauernwetzel	Mumps
Schattenbild	Schattenriß
Schattenbild	Silhouette
Baukunst	Architektur
Schildkrot	Schildpatt
Schlacke	Hochofenschlacke
Schmiermittel	Schmiere
Schnitzel	Rübenschnitzel
Schornstein	Schlot
Schwägerschaft	Affinität
Schweineseuche	Schweinepest
Sehwinkel	Gesichtswinkel
Senegambien	Senegal
Sepie	Tintenfisch
Serratula	Scharte
Servitut	Dienstbarkeit
Sesamum	Sesam
Silberglanz	Argentit
Silizium	Kiesel
Simplex	simpel
Beharrungsvermögen	Trägheit
Sippe	Sippschaft
Skorbut	Scharbock
Soda	Natriumkarbonat
Sozialökonomie	Soziallehre
Spasma	Spasmus
Speiskobalt	Smaltin
Srinagar	Kaschmir
Stabilität	Standfestigkeit
Stammbuch	Album
Standfähigkeit	Standfestigkeit
Stärke	Stärkemehl
Staupe	Laune
Staupe	Sucht
Stehlsucht	Kleptomanie
Steinsalz	Kochsalz
Sterblichkeit	Mortalität
Stockkrankheit	Wurmkrankheit
Stockkrankheit	Kropf
Storchschnabel	Pantograph
Striktur	Stenose
Stromwender	Kommutator
Abdecken	retuschieren
Adjustieren	einkleiden
Affektion	Erkrankung
Affiliation	adoptieren
Aïdes	Hades
Akt	Aufzug
Almand	Allmende
Almeinde	Allmende
Altazimut	Universalinstrument
Anogen	eruptiv
Anotto	Orlean
Anschaffung	Gegenwert
Attallo	Orlean
Auktorität	Autorität
Ausdehnung	Dimension
Ausgedinge	Altenteil
Auslieger	Ausleger
Aust	Eintagsfliege
Avarie	Havarie
Axillar	achselständig
Azetylsäure	Essigsäure
Bad	Taufe
Ballot	Ballen
Barma	Birma
Baróck	überladen
Barril	Barrel
Barysphäre	Erdkern
Base	Basis
Bastard	unecht
Bauchschlägigkeit	Dampf
Bein	Knochen
Beinbruch	Knochenbruch
Beinhaut	Knochenhautentzündung
Ben	Berggipfel
Bergpech	Asphalt
Bernstein	Ambra
Beschleusung	Kanalisation
Béseda	Klub
Beulenbrand	Milzbrand
Bikuspidalpunkt	Spitze
Bildungsgewebe	Meristem
Bixin	Orlean
Blausaures Kalium	Blutlaugensalz
Bleikristall	Kristallglas
Blume	Blüte
Blutsucht	Bluterkrankheit
Blutüberfüllung	Hyperämie
Böotien	plump
Brauner Jura	Dogger
Brechruhr	Cholera
Brief	Wechsel
Brune	Brunnen
Brutfäule	Faulbrut
Buckel	Rücken
Bug	Blatt
Burma	Birma
Buro	Buru
Cape Coast	Goldküste
Cent	Centavo
Charakter	Titel
Charcas	Sucre
Charge	Beschickung
Chargé	eingeschrieben
China	Chinarinde
Chinchina	Chinarinde
Chinesischrot	Zinnober
Choraltar	Hochaltar
Chorea	Veitstanz
Chörlein	Erker
Christmas Island	Weihnachtsinsel
Chromatik	Farbenlehre
Coast Range	Küstengebirge
Colombia	Kolumbien
Comes	Graf
Confort	Komfort
Copperah	Kopra
Costi	dortig
Cuccagna	Schlaraffenland
Cymophan	Chrysoberyll
Daggeisches Fieber	Denguefieber
Dagh	Berg
Dâk	Post
Daltonismus	Farbenblindheit
Dandyfieber	Denguefieber
Darmfeuer	Milzbrand
Demonstration	Beweis
Dialyse	Diffusion
Diatessaron	Quarte
Dilémma	Klemme
Ding	Gericht
Dinner	Diner
Diosmose	Osmose
Disharmonie	Dissonanz
Diskánt	Kontrapunkt
Diskussion	Debatte
Distanzpunkt	Augenpunkt
Djibouti	Dschibuti
Djilolo	Halmahera
Doppen	Quark
Dschilolo	Halmahera
Dung	Dünger
Durchgang	Kulmination
Dystrophie	Atrophie
Ebonit	Hartgummi
Eintrag	Einschlag
Eliasfeuer	Elmsfeuer
Eran	Iran
Erdapfel	Kartoffel
Erdbirne	Kartoffel
Esterlin	Gramm
Ethan	Äthan
Ex	vormalig
Exzentrisch	überspannt
F	fein
Fahlleder	Oberleder
Faland	Teufel
Fallimént	Bankrott
Fäulniswidrig	antiseptisch
Fechsen	ernten
Federweiß	Amiant
Fein	rein
Fennich	Hirse
Ferner	Gletscher
Fernsichtigkeit	Weitsichtigkeit
Fernsprecher	Telephon
Ferrocyankalium	Blutlaugensalz
Festungsstrafe	Festungshaft
Fidelitas	Lustigkeit
Fieberrinde	Chinarinde
Filamént	Staubfaden
Firn	Gletscher
Fischbein	Sepia
Fiume	Fluß
Florin	Gulden
Fluß	Rheumatismus
Fluß	Flußmittel
Fluxion	Differential
Föderation	Bundesstaat
Formell	formal
Formieren	Formation
Formyltrichlorid	Chloroform
Fraktur	Knochenbruch
Frattsein	Hautwolf
Fries	Borte
Fronaltar	Hochaltar
Fronton	Frontispiz
Gaffel	Abgabe
Galerie	Stollen
Galette	Kokon
Galvanisieren	elektrisieren
Gant	Konkurs
Gatter	Gitter
Gefragt	begehrt
Gelbkupfer	Messing
Geld	gesucht
Gemarkung	Grenze
Germen	Fruchtknoten
Geschlecht	Gattung
Geschmeidigkeit	Dehnbarkeit
Gewere	Besitz
Gichtrauch	Hüttenrauch
Gichtstaub	Hüttenrauch
Gilolo	Halmahera
Glykosin	Saccharin
Gold Coast	Goldküste
Gotisch	altertümlich
Gottesdienst	Kultus
Gotteskasten	Opferstock
Grain	Gran
Grano	Gran
Granulierte Niere	Schrumpfniere
Grein	Gran
Grobmörtel	Beton
Großgalle	Rinderpest
Grottésk	Grotesk
Grundfläche	Basis
Grundlinie	Basis
Guanahani	Watlingsinsel
Gülden	Gulden
Gummi	Hartgummi
Gut	Masse
Gut	Takelage
Haarschlechtigkeit	Dampf
Haber	Hafer
Hagel	Schrot
Halbfrucht	Gemenge
Hämatoblasten	Blutplättchen
Hämorrhagie	Hämophilie
Handelszeichen	Marken
Hansa	Schar
Hantgemal	Hausmarke
Hartschlächtigkeit	Dampf
Hautwolf	Lupus
Hede	Werg
Helenenfeuer	Elmsfeuer
Helmsturz	Visier
Hemiopie	Hemianopie
Herkulisch	riesenhaft
Herzschlag	Herzlähmung
Herzschlechtigkeit	Dampf
Hetero...	anders
Himmlisches Reich	China
Hindostan	Hindustan
Hirnhautentzündung	Gehirnhautentzündung
Hofmarke	Hausmarke
Höhere Gewalt	Naturgewalt
Holzstoff	Zellulose
Holzzeug	Holzstoff
Homo...	zusammen
Horde	Schar
Hydrasystem	Schneeballsystem
Hydrothionsäure	Schwefelwasserstoff
Immunität	Straffreiheit
Impfung	Veredelung
Indig	Indigo
Indigbitter	Pikrinsäure
Insuffiziénz	Herzschwäche
Insúlt	Anfall
Irrationéll	irrational
Irresein	Geisteskrankheit
Irrsinn	Geisteskrankheit
Ischurie	Harnverhaltung
Iso...	gleich
Ispan	Graf
Jakobsstraße	Milchstraße
Jamaikafieber	Malaria
Joliba	Niger
Jungle	Wechselfieber
Junktur	Konjunktur
Juridisch	juristisch
Kadénz	Schluß
Kaffeeerbse	Kichererbse
Kaje	Kai
Kaland	schwelgen
Kaldaunen	Eingeweide
Kaliber	Beschaffenheit
Kampher	Kampfer
Karnickel	Kaninchen
Kartennetz	Gradnetz
Kath	Kat
Katjanöl	Erdnußöl
Kebsehe	Konkubinat
Kees	Gletscher
Kern	Bohne
Kerýktik	Homiletik
Kesselkrater	Maar
Kicherling	Kichererbse
Kindswasser	Fruchtwasser
Kitte	Kette
Klimafieber	Wechselfieber
Klus	Klause
Knochenerde	Knochenasche
Knochensäure	Phosphorsäure
Kohlengas	Kohlenoxyd
Kohlsaat	Raps
Koller	Halskragen
Komitat	Grafschaft
Konglutination	Konglomerat
Konsumtion	Abnahme
Korn	Roggen
Körnerfrüchte	Getreide
Kosmotheïsmus	Pantheismus
Krähenauge	Hühnerauge
Krampfhusten	Keuchhusten
Kreis	Regierungsbezirk
Krik	Creek
Krimsche Krankheit	Aussatz
Kristallinse	Augenlinse
Kronentafelöl	Erdnußöl
Kröpfen	fressen
Kümmerling	Gurke
Kunstsilber	Neusilber
Kupferfinne	Kupferrose
Kupieren	stechen
Küstenfieber	Wechselfieber
Labsalben	teeren
Lade Gottes	Bundeslade
Laktylsäure	Milchsäure
Lateinisch	römisch
Lateinisch	abendländisch
Laudanum	Opium
Lazarettfieber	Flecktyphus
Lebensmittel	Nahrungsmittel
Leberkarzinom	Leberkrebs
Lei	Felsen
Leistung	Effekt
Leukäthiopie	Albinismus
Leukodérma	Albinismus
Leukopathie	Albinismus
Lewat	Raps
Lignose	Zellulose
Linie	Erdäquator
Linneit	Kobaltkies
Linsenerve	Linse
Loch	See
Loge	Versammlungsort
Löschen	ausladen
Lough	See
Luës	Syphilis
Luftgeschwulst	Emphysem
Lungenblähung	Lungenemphysem
Lungendampf	Emphysem
Lungenerweitereung	Emphysem
Machsor	Zyklus
Mage	Verwandtschaft
Magenschmerz	Magenkrampf
Magrab	Maghreb
Maldive Islands	Malediven
Mamers	Mars
Mannesschwäche	Impotenz
Marschfieber	Wechselfieber
Maut	Zoll
Mehlfrüchte	Getreide
Membran	Pergament
Meritorisch	wesentlich
Metalepsie	Substitution
Methylkarbinol	Alkohol
Milbenräude	Räude
Minus	Fehlbetrag
Moneta	Geld
Moos	Geld
Morbilität	Morbidität
Morphologie	Formenlehre
Muskelfasergewächs	Myom
Nachahmung	Mimikry
Näs	Kap
Nervosität	Nervenschwäche
Netzwerk	Filet
Nigritien	Sudan
Nijampal	Nepal
Nivellieren	gleichmachen
Nominéll	nominal
Nördliches Territorium	Nordaustralien
Nordterritorium	Nordaustralien
Ökumenisch	katholisch
Orchéster	Instrumentalmusik
Ordonnánz	vorschriftsmäßig
Organdy	Mull
Originéll	Original
Ortssinn	Orientierungssinn
Ovarium	Fruchtknoten
Owahu	Oahu
Oxypropionsäure	Milchsäure
Packung	Dichtung
Palmbutter	Palmöl
Paraphrase	Transkription
Pariser Rot	Zinnober
Partiéll	partial
Pas	Engpaß
Passion	Leidenschaft
Pathophobie	Hypochondrie
Patrone	Schablone
Pauken	fechten
Peel	Bruch
Peinliche Befragung	Tortur
Pell	Bruch
Penne	Kneipe
Periode	Zyklus
Persischgelb	Auripigment
Personenstand	Zivilstand
Phänakistoskop	Stroboskop
Phantoskop	Stroboskop
Phlegma	Trägheit
Phrase	Motiv
Physiologie	Physik
Pittinerz	Uranpecherz
Planetenmaschine	Planetarium
Pleite	bankrott
Plus	Überschuß
Polkafieber	Denguefieber
Pose	Feder
Prädikamént	Kategorie
Práktik	Praxis
Prokrústes	Zwangslage
Prosopalgie	Personifikation
Pullen	rudern
Pyrosphäre	Erdkern
Quilate	Karat
Quinquina	Chinarinde
Quint	Quentchen
Quintal	Zentner
Race	Rasse
Rädelerz	Bournonit
Rankkorn	Milzbrand
Rappen	Centime
Râs	Vorgebirge
Râs	Berg
Raumkubikmeter	Raummeter
Rauschgas	Lachgas
Real	stofflich
Real	wirklich
Rechtszuständigkeit	Kompetenz
Reéll	Real
Reichsfreiheit	Reichsunmittelbarkeit
Rekúrs	Regreß
Reng	Henna
Renne	Lab
Renonce	Fuchs
Reps	Raps
Reverberation	Reflektor
Rheuma	Rheumatismus
Ring	Corner
Rofla	Klamm
Römische Schrift	Antiqua
Rosein	Fuchsin
Rotglas	Realgar
Rotlauf	Rose
Rubin	Fuchsin
Rubinschwefel	Realgar
Salpetergas	Stickoxyd
Santiago	Guatemala
Satan	Teufel
Sauerstoffäther	Aldehyd
Schachtelsaft	Marmelade
Schafshusten	Keuchhusten
Scham	Syrien
Scharmotte	Schamotte
Schätzellit	Sylvin
Scheelesches Süß	Glyzerin
Scherîf	edel
Schichtenbau	Schichtung
Schippen	Pique
Schlagadern	Aneurysma
Schlauche	Klamm
Schlich	Schlamm
Schlichterwald	Schurwald
Schlicker	Schlacke
Schlieg	Schlamm
Schmant	Rahm
Schmetten	Rahm
Schneelinie	Schneegrenze
Schneuß	Fischblase
Schoof	Kette
Schuh	Fuß
Schuß	Einschlag
Schußfäden	Einschlag
Schutz	Honorierung
Schwänze	Corner
Schwarzbauch	Nase
Schwärzen	schmuggeln
Schwarzgültigerz	Stephanit
Schwedisch-Pommern	Vorpommern
Schwitzbad	Dampfbad
Schwund	Atrophie
See	Meer
Seelenstörung	Psychose
Seiger	senkrecht
Selfgovernment	Autonomie
Semperfreie	reichsunmittelbar
Serbet	Sorbet
Seschellen	Seychellen
Shire	Grafschaft
Sibirische Pest	Milzbrand
Siderostat	Heliostat
Sina	China
Söhling	horizontal
Soliloquium	Monolog
Sommation	Ultimatum
Sommerkante	Fuchs
Sothis	Sirius
Spargelerbse	Asparagin
Speicher	Lagerhaus
Spezies	Art
Spirsäure	Salizylsäure
Spongiös	Schwellkörper
Sprit	Spiritus
Staatshoheit	Staatsgewalt
Stachelechse	Moloch
Steinhund	Nerz
Steinkohlenkampfer	Naphthalin
Steinkolik	Nierenkolik
Stichel	Grabstichel
Stille Woche	Karwoche
Stoïzismus	Standhaftigkeit
Strahlenkörper	Ziliarkörper
Stratifikation	Schichtung
Subjunktiv	Konjunktiv
Sumpfluft	Grubengas
Sykose	Saccharin
Szene	Auftritt
Tagsichtigkeit	Nachtblindheit
Talzium	Magnesium
Tartsche	Schild
Tatarei	Zentralasien
Terrásse	Plattform
Territorium	Staatsgebiet
Teufe	Tiefe
Thaumatrop	Stroboskop
Thespis	Wanderbühne
Tick	Tic
Tirade	Passage
Tjendana	Sumba
Tohuwabohu	Chaos
Tölpel	Raps
Tonne	Boje
Töpferscheibe	Drehscheibe
Trächtigkeit	Schwangerschaft
Transsylvanien	Siebenbürgen
Tribunal	Richterstuhl
Trinitrokarbolsäure	Pikrinsäure
Tschindana	Sumba
Tubangummi	Guttapercha
Übergalle	Rinderpest
Universalsprache	Weltsprache
Universéll	universal
Unterbilanz	Defizit
Unterleib	Bauchfellentzündung
Unterösterreich	Niederösterreich
Unvermögen	Impotenz
Urinsäure	Harnsäure
Urkundenlehre	Diplomatik
Utilität	Utilitarismus
Vatikanisches Dogma	Unfehlbarkeitsdogma
Veh	Feh
Vehn	Sumpf
Venusblümchen	Kupferrose
Vergehen	Verbrechen
Verskunst	Metrik
Viehpest	Rinderpest
Virtuéll	potentiell
Vitriolerz	Markasit
Vorlage	Risalit
Vortrag	Transport
Wader	Gletscher
Walze	Zylinder
Warranted	garantiert
Weinblätter	Kupferrose
Welsch	fremd
Welschland	Italien
Weltalter	Zeitalter
Winkelrecht	lotrecht
Wollfett	Lanolin
Wörth	Werder
Wurmsucht	Wurmkrankheit
Wurzelstock	Rhizom
Zabel	Spielbrett
Zahlungsort	Erfüllungsort
Zahnküste	Elfenbeinküste
Zanguebar	Sansibar
Zent	Gericht
Zentrisch	zentral
Zentrobarisch	baryzentrisch
Zettel	Kette
Zinken	Zeichen
Zivil	privatrechtlich
Zoëtrop	Stroboskop
Zuckerin	Saccharin
Zurückwerfung	Reflexion
Zusammendrückbarkeit	Kompressibilität
Zyklus	Periode
